	3_1
0_1	2
2_1	1
3_1	0
3_2	3
4_1	4
4_2	2
4_3	2
4_4	1
4_5	2
4_6	1
4_7	2
4_8	2
5_1	2
5_2	2
5_3	2
5_4	2
5_5	3
5_6	2
5_7	3
5_8	2
5_9	2
5_10	3
5_11	1
5_12	2
5_13	4
5_14	3
5_15	4
5_16	2
5_17	2
5_18	2
5_19	2
5_20	1
5_21	3
5_22	2
5_23	3
5_24	2
6_1	4
6_2	2
6_3	2
6_4	3
6_5	2
6_6	3
6_7	3
6_8	2
6_9	2
6_10	2
6_11	2
6_12	2
6_13	2
6_14	3
6_15	1
6_16	1
6_17	2
6_18	2
6_19	3
6_20	4
6_21	2
6_22	3
6_23	3
6_24	3
6_25	3
6_26	2
6_27	3
6_28	2
6_29	2
6_30	2
6_31	3
6_32	3
6_33	3
6_34	3
6_35	2
6_36	2
6_37	4
6_38	3
6_39	2
6_40	2
6_41	2
6_42	3
6_43	3
6_44	2
6_45	2
6_46	4
6_47	2
6_48	3
6_49	3
6_50	3
6_51	2
6_52	3
6_53	1
6_54	4
6_55	2
6_56	2
6_57	4
6_58	2
6_59	1
6_60	3
6_61	3
6_62	2
6_63	3
6_64	3
6_65	3
6_66	2
6_67	2
6_68	2
6_69	2
6_70	3
6_71	4
6_72	2
6_73	2
6_74	4
6_75	3
6_76	3
6_77	2
6_78	3
6_79	4
6_80	4
6_81	2
6_82	3
6_83	3
6_84	2
6_85	3
6_86	4
6_87	2
6_88	1
6_89	2
6_90	2
6_91	2
6_92	3
6_93	3
6_94	2
6_95	2
6_96	2
6_97	3
6_98	2
6_99	4
6_100	3
6_101	3
6_102	3
6_103	3
6_104	3
6_105	2
6_106	1
6_107	2
6_108	3
6_109	3
6_110	3
6_111	2
6_112	2
6_113	3
6_114	2
6_115	1
6_116	2
6_117	3
6_118	3
6_119	3
6_120	3
6_121	4
